,abstract,title,ground truth venue,predicted_venue_1,predicted_venue_2,predicted_venue_3,predicted_venue_4,predicted_venue_5,predicted_venue_6,predicted_venue_7,predicted_venue_8,predicted_venue_9,predicted_venue_10,predicted_venue_11,predicted_venue_12,predicted_venue_13,predicted_venue_14,predicted_venue_15
85," the mit ron testbed consists of 36 unk nodes at 31 different unk . it has been in operation for two years . this paper presents an overview of the testbed , summarizes some of the research for which it has proved useful the testbed has been useful both for our own research and for that of external researchers unk of its heterogeneous ", experience with an evolving overlay network testbed ,ACM SIGCOMM Computer Communication Review,Computer Communications,ACM SIGCOMM Computer Communication Review,ACM SIGOPS Operating Systems Review,IEEE Journal on Selected Areas in Communications,IEEE Transactions on Parallel and Distributed Systems,IEEE Network: The Magazine of Global Internetworking,Mobile Networks and Applications,IEEE Transactions on Computers,Computer Networks: The International Journal of Computer and Telecommunications Networking,IEEE Communications Magazine,ACM SIGMETRICS Performance Evaluation Review,Future Generation Computer Systems,The Journal of Supercomputing,Wireless Networks,IEEE/ACM Transactions on Networking (TON)
86," the combination of static and dynamic software analysis , such as data flow analysis ( dfa ) and model checking on the one hand , the information extracted by dfas about program data may be utilized by model checkers to on the other hand , the expressiveness of logic formulas allows us to consider model checkers as generic data flow following this second approach , we propose in this paper an algorithm to calculate dfas using on-the-fly resolution of boolean the overall framework includes the abstraction of the input program into an implicit labeled transition system ( lts ) , moreover , using unk as an intermediate representation allowed us to reformulate classical dfas encountered in the literature , which our work was implemented and integrated into the widespread verification platform unk , and experimented on real examples . ", on-the-fly data flow analysis based on verification technology ,Electronic Notes in Theoretical Computer Science (ENTCS),ACM SIGSOFT Software Engineering Notes,Electronic Notes in Theoretical Computer Science (ENTCS),Journal of Computer Science and Technology,Journal of Systems and Software,Information and Software Technology,IEEE Transactions on Software Engineering,Computer-Aided Design,ICYCS '08 Proceedings of the 2008 The 9th International Conference for Young Computer Scientists,Advances in Engineering Software,International Journal of Computer Applications in Technology,Science of Computer Programming,Journal of Systems Architecture: the EUROMICRO Journal,IEICE - Transactions on Information and Systems,Computers in Industry,The Journal of Supercomputing
87," this article discusses how to avoid biased questions in survey instruments , how to motivate people to complete instruments and in the context of survey evaluation , we discuss how to assess survey reliability unk . how reproducible a survey 's data is and survey validity unk . how well a survey instrument measures what it sets out to measure . ", principles of survey research part 4 : questionnaire evaluation ,ACM SIGSOFT Software Engineering Notes,ACM SIGCHI Bulletin,ACM SIGCOMM Computer Communication Review,ACM SIGSOFT Software Engineering Notes,ACM SIGMOD Record,Computer Communications,International Journal of Information Management: The Journal for Information Professionals,Computer Standards & Interfaces,Network Security,ACM SIGMIS Database,Journal of the American Society for Information Science and Technology,IEEE Network: The Magazine of Global Internetworking,IEEE Software,Computers in Industry,Marketing Science,Information and Management
88," unk showed that the convex hull of the stable matchings of a bipartite preference system can be described by an in this paper we prove that the description given by unk is totally dual integral . we give a constructive proof based on the results of unk and unk on rotations , which gives rise to ", total dual integrality of unk 's description of the unk polyhedron ,Mathematics of Operations Research,Operations Research Letters,Information Processing Letters,Theoretical Computer Science,Mathematics of Operations Research,Automation and Remote Control,Discrete Applied Mathematics,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",Journal of Global Optimization,Fundamenta Informaticae,SIAM Journal on Computing,SIAM Journal on Control and Optimization,SIAM Journal on Discrete Mathematics,Mathematical Programming: Series A and B,Journal of Computer and System Sciences,Cybernetics and Systems Analysis
89," when some parts of a pattern are occluded by other objects , the visual system can often estimate the shape this paper proposes a neural network model capable of such function , which is called unk completion . the model is a hierarchical multi-layered network that has bottom-up and top-down signal paths . it contains cells of area v1 , which respond selectively to edges of a particular orientation , and cells of using the responses of unk cells , the model predicts the curvature and location of the occluded contours . missing contours are gradually extrapolated and interpolated from the visible contours . computer simulation demonstrates that the model performs unk completion to various stimuli in a similar way as observed by psychological ", 2010 special issue : neural network model for completing occluded contours ,Neural Networks,Neural Networks,Neural Computation,IEEE Transactions on Neural Networks,Neurocomputing,Biological Cybernetics,Neural Processing Letters,IJCNN'09 Proceedings of the 2009 international joint conference on Neural Networks,Pattern Recognition,Automatica (Journal of IFAC),Engineering Applications of Artificial Intelligence,Neural Computing and Applications,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",Artificial Intelligence in Medicine,Journal of Approximation Theory,Journal of Cognitive Neuroscience
90," a method is presented for the optimization of arbitrary quantizers by use of a compensating postfilter . it is shown that the resulting optimized quantizers fit the model of a linear time-invariant filter followed by additive noise on the basis of this model , an expression for the variance of the error of a subband coder using given analysis filters which statistically separate the subbands , it is shown that this variance is minimized if these synthesis the globally optimum filter bank , minimizing the coder error variance , is further obtained by proper choice of its a novel method for the determination of optimal bit allocation to subbands of the filter banks with optimized quantizers is the results are evaluated experimentally by comparison of the optimum uniformly split subband image coding scheme to classical unk filter ", construction of optimal subband coders using optimized and optimal quantizers ,IEEE Transactions on Image Processing,IEEE Transactions on Image Processing,IEEE Transactions on Signal Processing,IEEE Transactions on Circuits and Systems for Video Technology,EURASIP Journal on Applied Signal Processing,IEEE Transactions on Information Theory,IEEE Journal on Selected Areas in Communications,IEEE Transactions on Pattern Analysis and Machine Intelligence,Signal Processing,"IEEE Transactions on Audio, Speech, and Language Processing",Digital Signal Processing,IEEE Transactions on Multimedia,IEEE Transactions on Neural Networks,"ICASSP '91 Proceedings of the Acoustics, Speech, and Signal Processing, 1991. ICASSP-91., 1991 International Conference",Journal of Signal Processing Systems,Journal of Mathematical Imaging and Vision
91," fast unk is an algorithm for consensus that works by a succession of rounds , where each round tries to rounds are started by a coordinator process and consistency is guaranteed by the rule used by this process for the we show a simplified version of this rule for the specific case where the quorums are defined by the cardinality this rule is of special interest for unk of the algorithm . ", on the coordinator 's rule for fast unk ,Information Processing Letters,Information Processing Letters,Theoretical Computer Science,Discrete Applied Mathematics,Journal of the ACM (JACM),SIAM Journal on Computing,Operations Research Letters,Information and Computation,Fundamenta Informaticae,Journal of Computer and System Sciences,Algorithmica,SIAM Journal on Discrete Mathematics,Computational Geometry: Theory and Applications,Electronic Notes in Theoretical Computer Science (ENTCS),Journal of Symbolic Computation,Discrete & Computational Geometry
92," in order to reconstruct 3-d euclidean shape by the unk factorization , one needs to specify an affine camera model we present a new method that does not require any such specific models . we show that a minimal requirement for an affine camera to mimic perspective projection leads to a unique camera model we determine their values from input images by linear computation and demonstrate by experiments that an appropriate camera model is ", uncalibrated factorization using a variable symmetric affine camera ,IEICE - Transactions on Information and Systems,International Journal of Computer Vision,IEEE Transactions on Pattern Analysis and Machine Intelligence,Computer Vision and Image Understanding,ICPR '10 Proceedings of the 2010 20th International Conference on Pattern Recognition,Image and Vision Computing,ICIP'09 Proceedings of the 16th IEEE international conference on Image processing,Pattern Recognition Letters,Journal of Mathematical Imaging and Vision,Pattern Recognition,ICRA'09 Proceedings of the 2009 IEEE international conference on Robotics and Automation,IROS'09 Proceedings of the 2009 IEEE/RSJ international conference on Intelligent robots and systems,IEEE Transactions on Image Processing,The Visual Computer: International Journal of Computer Graphics,Machine Vision and Applications,"ICASSP '09 Proceedings of the 2009 IEEE International Conference on Acoustics, Speech and Signal Processing"
93, an analysis of digital random numbers generated from serial samples of gaussian noise is presented . a methodology is developed for calculating the word probability distribution in terms of the autocorrelation function of the noise . examples are presented for three and four bit words . a related problem is also considered which concerns the noise unk function . bounds are derived which take into account nonideal effects of the filter used to shape the noise spectrum . an example is given for a modified unk bandpass model . , analysis of digital random numbers generated from serial samples of correlated gaussian noise ( unk . ) ,IEEE Transactions on Information Theory,IEEE Transactions on Information Theory,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",IEEE Transactions on Signal Processing,IEEE Journal on Selected Areas in Communications,IEEE Transactions on Communications,Digital Signal Processing,IEEE Transactions on Wireless Communications,Information Sciences: an International Journal,Journal of Multivariate Analysis,IEEE Communications Letters,Wireless Personal Communications: An International Journal,"ICASSP '91 Proceedings of the Acoustics, Speech, and Signal Processing, 1991. ICASSP-91., 1991 International Conference",Applied Mathematics and Computation,Signal Processing,ACM SIGMETRICS Performance Evaluation Review
94," a quantitative version , based on modified unk , of the classical unk 's theorem concerning the approximation of c the result is applied to the study of the degree of convergence of the iterated bernstein operators on the n-dimensional ", a quantitative version of unk 's approximation theorem ,Journal of Approximation Theory,Journal of Approximation Theory,Journal of Computational and Applied Mathematics,Computers & Mathematics with Applications,Applied Mathematics and Computation,Advances in Applied Mathematics,Mathematical and Computer Modelling: An International Journal,Finite Fields and Their Applications,Journal of Mathematical Imaging and Vision,IEEE Transactions on Information Theory,Journal of Symbolic Computation,Theoretical Computer Science,Journal of Combinatorial Theory Series A,European Journal of Combinatorics,Journal of Algebraic Combinatorics: An International Journal,Numerische Mathematik
95," efficient construction of inverted indexes is essential to provision of search over large collections of text data . in this article , we review the principal approaches to inversion , analyze their theoretical cost , and present experimental we identify the drawbacks of existing inversion approaches and propose a single-pass inversion method that , in contrast to previous we show that the performance of the single-pass approach can be improved by constructing inverted files in segments , reducing ", efficient single-pass index construction for text databases ,Journal of the American Society for Information Science and Technology,ACM Transactions on Database Systems (TODS),ACM SIGMOD Record,Data & Knowledge Engineering,The VLDB Journal — The International Journal on Very Large Data Bases,Information Systems,Information Processing and Management: an International Journal,Proceedings of the VLDB Endowment,Journal of Systems and Software,IEEE Transactions on Knowledge and Data Engineering,Information and Software Technology,Journal of the ACM (JACM),Knowledge and Information Systems,IEEE Transactions on Software Engineering,Journal of the American Society for Information Science and Technology,Electronic Notes in Theoretical Computer Science (ENTCS)
96," automated medical concept recognition is important for medical informatics such as medical document retrieval and text mining research . in this paper , we present a software tool called unk identification program ( unk ) for identifying topical concepts unk combines two functions : noun phrase extraction and unk identification . the former automatically extracts noun phrases from medical literature as unk candidates . the latter assigns weights to extracted noun phrases for a medical document based on how important they are to that the experimental results show that our noun phrase extractor is effective in identifying noun phrases from medical documents , so they both performed better than the systems they were compared to . ", identifying important concepts from medical documents ,Journal of Biomedical Informatics,Information Processing and Management: an International Journal,Journal of Biomedical Informatics,Expert Systems with Applications: An International Journal,Journal of the American Society for Information Science and Technology,Scientometrics,Artificial Intelligence in Medicine,Journal of Medical Systems,IEEE Transactions on Information Technology in Biomedicine,Knowledge-Based Systems,Decision Support Systems,HICSS '13 Proceedings of the 2013 46th Hawaii International Conference on System Sciences,HICSS '12 Proceedings of the 2012 45th Hawaii International Conference on System Sciences,Knowledge and Information Systems,IEEE Intelligent Systems,HICSS '14 Proceedings of the 2014 47th Hawaii International Conference on System Sciences
97," a document retrieval system mainly consists of three components : document representation , user queries , and document evaluation . each component may involve some uncertainties . fuzzy set theory is a natural approach to coping with the representation of documents , queries , and the relevance the authors propose a fuzzy document retrieval model on the world wide web ( www ) environment to support conceptual a flexible query expression is proposed to support different semantics of the queries . a concept network is adopted as the knowledge base to represent the relevance of the concepts . the concept network is explored from the www . moreover , they also support neighborhood queries , which retrieve documents relevant to a document specified by a user . ", supporting conceptual and neighborhood queries on the world unk ,"IEEE Transactions on Systems, Man, and Cybernetics, Part C: Applications and Reviews",IEEE Transactions on Knowledge and Data Engineering,ACM Transactions on Database Systems (TODS),Journal of the American Society for Information Science and Technology,ACM SIGMOD Record,Journal of Computer Science and Technology,The VLDB Journal — The International Journal on Very Large Data Bases,Information Processing and Management: an International Journal,Knowledge and Information Systems,Expert Systems with Applications: An International Journal,Data & Knowledge Engineering,Information Sciences: an International Journal,IEEE Transactions on Software Engineering,Knowledge-Based Systems,IEEE Transactions on Pattern Analysis and Machine Intelligence,Information Systems
98," finding clusters in data is a challenging problem . given a dataset , we usually do not know the number of natural clusters hidden in the dataset . the problem is exacerbated when there is little or no additional information except the data itself . this paper proposes a general stochastic clustering method that is a simplification of nature-inspired ant-based clustering approach . it begins with a basic solution and then performs stochastic search to incrementally improve the solution until the underlying clusters this method differs from several recent methods in that it does not require users to input the number of clusters our experimental results show that the proposed method performs better than several existing methods in terms of clustering accuracy and our theoretical analysis shows that the proposed method has linear time and space complexities , and our empirical study shows ", a general stochastic clustering method for automatic cluster discovery ,Pattern Recognition,Pattern Recognition,Knowledge and Information Systems,Expert Systems with Applications: An International Journal,Knowledge-Based Systems,Neurocomputing,Information Processing and Management: an International Journal,Information Sciences: an International Journal,IEEE Transactions on Knowledge and Data Engineering,Pattern Recognition Letters,Data & Knowledge Engineering,IEEE/ACM Transactions on Computational Biology and Bioinformatics (TCBB),Information Systems,Applied Soft Computing,The Journal of Machine Learning Research,Proceedings of the VLDB Endowment
99, engineers are becoming more aware of the usefulness of convolution in solving engineering problems . the methods used to explain and motivate convolution in the past are not adequate to unk in the student the this paper poses the problems associated with the present teaching methods and suggests other approaches and examples which can be , on the convolution integral ,IEEE Transactions on Education,IEEE Transactions on Education,Mathematical and Computer Modelling: An International Journal,Applied Mathematics and Computation,Advances in Engineering Software,Mathematics and Computers in Simulation,Computers & Mathematics with Applications,Computers and Structures,Journal of Computational and Applied Mathematics,International Journal of Computer Applications in Technology,Computers & Education,International Journal of Computer Mathematics,Computer-Aided Design,Finite Elements in Analysis and Design,Automatica (Journal of IFAC),Communications of the ACM
